SKU;Category;Name;Brand;Ed.izm;Price;Description;Photo
10001;"Ламинированные полы>Kronostar>Grunhof (32кл.)
";D5015 Дуб Бастиль;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/Grunhoff/_thumb_/5015DUB_Bastil-Grunhof.jpg
10002;Ламинированные полы>Kronostar>Grunhof (32кл.);D4851 Орех Огайо;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/Grunhoff/_thumb_/4851Oreh_Ohaio_Grunhof.jpg
10003;Ламинированные полы>Kronostar>Grunhof (32кл.);D3944 Дуб Вилетт;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/New/3944dub_vilett_ok-1.jpg
10004;Ламинированные полы>Kronostar>Grunhof (32кл.);D4850 Дуб Нео;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/Grunhoff/_thumb_/4850DUB_Neo-Grunhof.jpg
10005;Ламинированные полы>Kronostar>Grunhof (32кл.);D4849 Дуб Кристалл;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/Grunhoff/_thumb_/4849DUB_Kristall-Home-Grunhof.jpg
10006;Ламинированные полы>Kronostar>Grunhof (32кл.);D3479 Дуб Пикадилли;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/Grunhoff/_thumb_/3479%20DUB_Picadilli_Grunhof.jpg
10007;Ламинированные полы>Kronostar>Grunhof (32кл.);D8132 Белла Нота;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/Grunhoff/D8131%20%D0%A1%D0%B8%D0%BC%D1%84%D0%BE%D0%BD%D0%B8%D1%8F%20%D0%BC%D0%B0%D0%B3%D0%B8%D0%B8.jpg
10008;Ламинированные полы>Kronostar>Grunhof (32кл.);D1504 Дуб Ноче Краков;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/Grunhoff/D1504%20%D0%94%D1%83%D0%B1%20%D0%9D%D0%BE%D1%87%D0%B5%20%D0%9A%D1%80%D0%B0%D0%BA%D0%BE%D0%B2.jpg
10009;Ламинированные полы>Kronostar>Grunhof (32кл.);D2740 Дуб Дымчатый;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/Grunhoff/D2740%20%D0%94%D1%83%D0%B1%20%D0%94%D1%8B%D0%BC%D1%87%D0%B0%D1%82%D1%8B%D0%B9.jpg
10010;Ламинированные полы>Kronostar>Grunhof (32кл.);D3007 Ясень Стокгольмский;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/Grunhoff/D3007%20%D0%AF%D1%81%D0%B5%D0%BD%D1%8C%20%D0%A1%D1%82%D0%BE%D0%BA%D0%B3%D0%BE%D0%BB%D1%8C%D0%BC%D1%81%D0%BA%D0%B8%D0%B9.jpg
10011;Ламинированные полы>Kronostar>Grunhof (32кл.);D2987 Дуб Ретушированный;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/Grunhoff/D2987%20%D0%94%D1%83%D0%B1%20%D0%A0%D0%B5%D1%82%D1%83%D1%88%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9.jpg
10012;Ламинированные полы>Kronostar>Grunhof (32кл.);D2873 Дуб Вейвлесс Белый;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/Grunhoff/D2873%20%D0%94%D1%83%D0%B1%20%D0%92%D0%B5%D0%B9%D0%B2%D0%BB%D0%B5%D1%81%D1%81%20%D0%91%D0%B5%D0%BB%D1%8B%D0%B9.jpg
10013;Ламинированные полы>Kronostar>Grunhof (32кл.);D742 Дуб Шато;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/Grunhoff/D742%20%D0%94%D1%83%D0%B1%20%D0%A8%D0%B0%D1%82%D0%BE.jpg
10014;Ламинированные полы>Kronostar>Grunhof (32кл.);D644 Дуб Натуральный;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/Grunhoff/D644%20%D0%94%D1%83%D0%B1%20%D0%9D%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9.jpg
10015;Ламинированные полы>Kronostar>Grunhof (32кл.);D2413 Дуб Беленый;Kronostar (Россия);м.кв.;11,5;"Класс истираемости: АС4
Класс применения: 32
Размер панели, мм: 1380х193х8
Количество в упаковке, шт: 8
Поверхность: натуральное дерево (W)
Гарантия, лет 15
Площадь пачки, м2 2,1307";http://www.santrade.by/prod_images/Grunhoff/D2413%20%D0%94%D1%83%D0%B1%20%D0%91%D0%B5%D0%BB%D0%B5%D0%BD%D1%8B%D0%B9.jpg
