SKU;Category;Name;Brand;Ed.izm;Price;Description;Photo
10114;Гибкая черепица>Docke>серия Simple>Гибкая черепица коллекции «Тетрис»;Тетрис;Docke(Россия);м.кв.;8,34;;http://docke.com.by/wp-content/uploads/2017/01/tetris-1.jpg,http://docke.com.by/wp-content/uploads/2017/01/tetris-2.jpg
10115;Гибкая черепица>Docke>серия Simple>Гибкая черепица коллекции «Кольчуга»;кольчуга;Docke(Россия);м.кв.;9,96;;http://docke.com.by/wp-content/uploads/2017/01/kolchuga-1.jpg,http://docke.com.by/wp-content/uploads/2017/01/kolchuga-2.jpg,http://docke.com.by/wp-content/uploads/2017/01/kolchuga-3.jpg
10116;Гибкая черепица>Docke>серия Simple>Гибкая черепица коллекции «Крона»;Крона;Docke(Россия);м.кв.;10,06;;http://docke.com.by/wp-content/uploads/2017/01/krona-3.jpg,http://docke.com.by/wp-content/uploads/2017/01/krona-2.jpg,http://docke.com.by/wp-content/uploads/2017/01/krona-1.jpg
10117;Гибкая черепица>Docke>серия Simple>Гибкая черепица коллекции «Сота»;Сота;Docke(Россия);м.кв.;8,1;;http://docke.com.by/wp-content/uploads/2017/01/sota-1.jpg,http://docke.com.by/wp-content/uploads/2017/01/sota-2.jpg,http://docke.com.by/wp-content/uploads/2017/01/sota-3.jpg,http://docke.com.by/wp-content/uploads/2017/01/sota-4.jpg
10118;Гибкая черепица>Docke>Серия Gold>ГИБКАЯ ЧЕРЕПИЦА КОЛЛЕКЦИИ «ЛЬЕЖ»;«ЛЬЕЖ»;Docke(Россия);м.кв.;13,46;;http://docke.com.by/wp-content/uploads/2016/05/lezh-barbaris.jpg,http://docke.com.by/wp-content/uploads/2016/05/lezh-grilyazh.jpg,http://docke.com.by/wp-content/uploads/2016/05/lezh-iris.jpg,http://docke.com.by/wp-content/uploads/2016/05/lezh-izum.jpg,
10119;Гибкая черепица>Docke>Серия Gold>ГИБКАЯ ЧЕРЕПИЦА КОЛЛЕКЦИИ «НИЦЦА»; «НИЦЦА»;Docke(Россия);м.кв.;11,92;;
10120;Гибкая черепица>Docke>Серия Gold>ГИБКАЯ ЧЕРЕПИЦА КОЛЛЕКЦИИ «ЖЕНЕВА»;«ЖЕНЕВА»;Docke(Россия);м.кв.;14,62;;
10121;Гибкая черепица>Docke>Серия Gold>ГИБКАЯ ЧЕРЕПИЦА КОЛЛЕКЦИИ «ГЕНУЯ»;«ГЕНУЯ»;Docke(Россия);м.кв.;12,14;;
10122;Гибкая черепица>Docke>Серия Gold>ГИБКАЯ ЧЕРЕПИЦА КОЛЛЕКЦИИ «ЦЮРИХ»;«ЦЮРИХ»;Docke(Россия);м.кв.;13,46;;
10123;Гибкая черепица>Docke>Серия Gold>ГИБКАЯ ЧЕРЕПИЦА КОЛЛЕКЦИИ «ГРАНАДА»;«ГРАНАДА»;Docke(Россия);м.кв.;12,14;;
10124;Гибкая черепица>Docke>Серия Gold>ГИБКАЯ ЧЕРЕПИЦА КОЛЛЕКЦИИ «ШЕФФИЛД»;«ШЕФФИЛД»;Docke(Россия);м.кв.;11,92;;
10125;Гибкая черепица>Docke>Серия Gold>ГИБКАЯ ЧЕРЕПИЦА КОЛЛЕКЦИИ «КЁЛЬН»;«КЁЛЬН»;Docke(Россия);м.кв.;11,92;;
10126;Гибкая черепица>Docke>Коньково-карнизная черепица;Все цвета;Docke(Россия);м.кв.;12,49;"Длина - 1000 мм
Ширина - 333 мм
Толщина - 3,5 ± 0,5 мм
Количество в упаковке - 22
Плошадь покрытия 1 упаковкой - 3,586 кв.м
Упаковка - Термоусадочная ПЭ-пленка
Вес упаковки - 31,388 кг";http://docke.com.by/upload/images/karniznaya-cherepica.jpg
10127;Гибкая черепица>Docke>Коньково-карнизная черепица;Чернослив;Docke(Россия);м.кв.;13,58;Длина - 1000 мм;http://docke.com.by/upload/images/karniznaya-cherepica.jpg
10128;Гибкая черепица>Docke>Ендовый ковер;Все цвета;Docke(Россия);м.кв.;9,61;"Цвет: коричневый, красный, медный, зелёный, графит. Длина - 10 м
Ширина - 1 м
Толщина - 3,5 мм
Упаковка - Рулон
Вес - 4 кг/кв.м";http://docke.com.by/upload/images/endovi-kover.jpg
10129;Гибкая черепица>Docke>Ендовый ковер;Синий;Docke(Россия);м.кв.;10,42;"Цвет: синий
Ширина - 1 м
Толщина - 3,5 мм
Упаковка - Рулон
Вес - 4 кг/кв.м";http://docke.com.by/upload/images/endovi-kover.jpg
10130;Гибкая черепица>Docke>Подкладочный ковер D-Basis Standard 1?15;основа - стеклохолст;Docke(Россия);м.кв.;2,03;"Упаковка Рулоны по 15 м
Основа Стеклохолст
Вес 1,9 кг/м2";http://docke.com.by/upload/images/d-basis-standart.jpg
10131;Гибкая черепица>Docke>Подкладочный ковер D-Basis Standard Plus 1?15;основа - стеклохолст + клеевая полоса;Docke(Россия);м.кв.;2,14;"Упаковка Рулоны по 15 м
Основа Стеклохолст
Вес 2 кг/м2";http://docke.com.by/wp-content/uploads/2015/04/d-basis-standart-plus.jpg
10132;Гибкая черепица>Docke>Подкладочный ковер D-Basis Comfort Glass 1?15;основа - стеклохолст + SBS модифицированный битум;Docke(Россия);м.кв.;2,78;"Упаковка Рулоны по 15 м
Основа Стеклохолст
Вес 0,8 кг/м2";http://docke.com.by/wp-content/uploads/2015/04/d-basis-comfort-glass.jpg
10133;Гибкая черепица>Docke>Подкладочный ковер D-Basis Comfort Glass 1?30;основа - стеклохолст + SBS модифицированный битум;Docke(Россия);м.кв.;2,78;"Упаковка Рулоны по 30 м
Основа Стеклохолст
Вес 0,8 кг/м2";http://docke.com.by/wp-content/uploads/2015/04/d-basis-comfort-glass.jpg
10134;Гибкая черепица>Docke>Подкладочный ковер D-Basis Comfort 1?40;основа - стеклохолст + SBS модифицированный битум+ полиэфир;Docke(Россия);м.кв.;3,57;"Упаковка Рулоны по 40 м
Основа Полиэстер
Вес 0,5 кг/м2";http://docke.com.by/upload/images/d-basis-comfort.jpg
10135;Гибкая черепица>Docke>;ПОРОГИ 0.9  А30Л;Docke(Россия);шт.;2,44;;http://demos.templatemela.com/woo/WCM02/WCM020038/WP11/wp-content/uploads/2017/02/15.jpg,http://demos.templatemela.com/woo/WCM02/WCM020038/WP11/wp-content/uploads/2017/02/9.jpg
10136;Алюминиевые порожки;ПОРОГИ 0.9  А39 КД;Docke(Россия);шт.;2,87;;http://demos.templatemela.com/woo/WCM02/WCM020038/WP11/wp-content/uploads/2017/02/15.jpg,http://demos.templatemela.com/woo/WCM02/WCM020038/WP11/wp-content/uploads/2017/02/9.jpg
10137;Алюминиевые порожки;ПОРОГИ 0.9  А39 Л;Docke(Россия);шт.;3,31;;http://demos.templatemela.com/woo/WCM02/WCM020038/WP11/wp-content/uploads/2017/02/15.jpg,http://demos.templatemela.com/woo/WCM02/WCM020038/WP11/wp-content/uploads/2017/02/9.jpg
10138;Алюминиевые порожки;ПОРОГИ 0.9  А4;Docke(Россия);шт.;4,7;;http://demos.templatemela.com/woo/WCM02/WCM020038/WP11/wp-content/uploads/2017/02/15.jpg,http://demos.templatemela.com/woo/WCM02/WCM020038/WP11/wp-content/uploads/2017/02/9.jpg
